"Longitude","Latitude","Title","Treezone"
"151.004319","-33.947642","Callistemon viminalis","TZ2"
"151.004173","-33.947677","Callistemon viminalis","TZ2"
"151.004018","-33.947669","Callistemon viminalis","TZ2"
"151.003851","-33.947651","Callistemon viminalis","TZ2"
"151.003623","-33.947604","Callistemon viminalis","TZ2"
"151.003409","-33.947846","Eucalyptus ficifolia (grafted stock)","TZ2"
"151.000597","-33.946146","Callistemon viminalis","TZ2"
"151.001634","-33.946317","Callistemon viminalis","TZ2"
"151.001315","-33.94627","Callistemon viminalis","TZ2"
"151.000189","-33.946101","Callistemon viminalis","TZ2"
"150.999948","-33.946061","Callistemon viminalis","TZ2"
"150.999708","-33.946478","Tristaniopsis laurina","TZ2"
"150.999689","-33.946619","Olea europaea","TZ2"
"150.999528","-33.947353","Hymenosporum flavum","TZ2"
"150.999491","-33.947514","Eucalyptus melliodora","TZ2"
"150.999467","-33.947623","Olea europaea","TZ2"
"150.999349","-33.948098","Olea europaea","TZ2"
"150.999299","-33.948394","Olea europaea","TZ2"
"150.999265","-33.948564","Olea europaea","TZ2"
"150.999223","-33.948701","Olea europaea","TZ2"
"150.999798","-33.948774","Callistemon viminalis","TZ2"
"151.000007","-33.948748","Olea europaea","TZ2"
"151.000246","-33.948465","Olea europaea","TZ2"
"151.000267","-33.948347","Olea europaea","TZ2"
"151.000379","-33.947783","Olea europaea","TZ2"
"151.000409","-33.947651","Olea europaea","TZ2"
"151.000438","-33.947511","Olea europaea","TZ2"
"151.000509","-33.947259","Olea europaea","TZ2"
"151.00058","-33.946932","Olea europaea","TZ2"
"151.000594","-33.946824","Tristaniopsis laurina","TZ2"
"151.000708","-33.946303","Olea europaea","TZ2"
"151.000851","-33.946395","Callistemon viminalis","TZ2"
"151.000832","-33.946453","Callistemon viminalis","TZ2"
"151.000821","-33.946551","Callistemon viminalis","TZ2"
"151.000794","-33.946653","Callistemon viminalis","TZ2"
"151.000747","-33.946841","Olea europaea","TZ2"
"151.000717","-33.94699","Olea europaea","TZ2"
"151.000678","-33.94719","Eucalyptus longifolia","TZ2"
"151.000663","-33.947268","Eucalyptus longifolia","TZ2"
"151.000641","-33.947311","Eucalyptus melliodora","TZ2"
"151.000627","-33.947424","Callistemon viminalis","TZ2"
"151.000589","-33.947571","Olea europaea","TZ2"
"151.000552","-33.947702","Eucalyptus melliodora","TZ2"
"151.000489","-33.94801","Olea europaea","TZ2"
"151.000463","-33.948166","Olea europaea","TZ2"
"151.000431","-33.948305","Olea europaea","TZ2"
"151.0028","-33.946772","Eucalyptus ficifolia (grafted stock)","TZ2"
"151.000387","-33.948487","Olea europaea","TZ2"
"151.000362","-33.948619","Olea europaea","TZ2"
"151.0027362","-33.94662527","Eucalyptus ficifolia (grafted stock)","TZ2"
"151.000326","-33.948761","Olea europaea","TZ2"
"151.002751","-33.946961","Callistemon viminalis","TZ2"
"151.000289","-33.949608","Tristaniopsis laurina","TZ2"
"151.002737","-33.947082","Eucalyptus ficifolia (grafted stock)","TZ2"
"151.000514","-33.949592","Tristaniopsis laurina","TZ2"
"151.002654","-33.946954","Waterhousia floribunda","TZ2"
"151.002641","-33.947014","Waterhousia floribunda","TZ2"
"151.002704","-33.947214","Eucalyptus ficifolia (grafted stock)","TZ2"
"151.002609","-33.947197","Eucalyptus ficifolia (grafted stock)","TZ2"
"151.002567","-33.947347","Callistemon viminalis","TZ2"
"151.002601","-33.947731","Eucalyptus ficifolia (grafted stock)","TZ2"
"151.002538","-33.947527","Eucalyptus ficifolia (grafted stock)","TZ2"
"151.002551","-33.947896","Eucalyptus ficifolia (grafted stock)","TZ2"
"151.002493","-33.947606","Callistemon viminalis","TZ2"
"151.002472","-33.947713","Callistemon viminalis","TZ2"
"151.002451","-33.947891","Unident / evergreen / Exotic","TZ2"
"151.002494","-33.948192","Platanus x hybrida","TZ2"
"151.00238","-33.948247","Eucalyptus ficifolia (grafted stock)","TZ2"
"151.002483","-33.94823","Platanus x hybrida","TZ2"
"151.002458","-33.94832","Platanus x hybrida","TZ2"
"151.002449","-33.948359","Eucalyptus ficifolia (grafted stock)","TZ2"
"150.999666","-33.946206","Olea africana","TZ2"
"150.999639","-33.94634","Olea africana","TZ2"
"150.999617","-33.946459","Olea africana","TZ2"
"150.999564","-33.946612","Olea africana","TZ2"
"150.999556","-33.946663","Callistemon viminalis","TZ2"
"150.998579","-33.945944","Lophostemon confertus","TZ2"
"150.99951","-33.946895","Olea africana","TZ2"
"150.99945","-33.947176","Jacaranda mimosifolia","TZ2"
"150.998581","-33.946495","Metrosideros thomasii","TZ2"
"150.998571","-33.946661","Waterhousia floribunda","TZ2"
"150.999414","-33.947334","Callistemon viminalis","TZ2"
"150.998531","-33.94682","Eucalyptus ficifolia (grafted stock)","TZ2"
"150.999373","-33.947491","Olea africana","TZ2"
"150.998506","-33.946924","Tristaniopsis laurina","TZ2"
"150.999356","-33.947615","Olea africana","TZ2"
"150.998465","-33.947105","Callistemon viminalis","TZ2"
"150.999323","-33.947738","Tristaniopsis laurina","TZ2"
"150.998438","-33.947206","Callistemon viminalis","TZ2"
"150.999316","-33.947782","Tristaniopsis laurina","TZ2"
"150.998398","-33.9474","Callistemon viminalis","TZ2"
"150.99928","-33.947899","Olea africana","TZ2"
"150.998388","-33.947474","Tristaniopsis laurina","TZ2"
"150.999246","-33.94809","Olea africana","TZ2"
"150.998341","-33.947679","Callistemon viminalis","TZ2"
"150.998322","-33.947779","Callistemon viminalis","TZ2"
"150.999181","-33.948357","Olea africana","TZ2"
"150.999151","-33.948538","Olea africana","TZ2"
"150.998246","-33.948063","Callistemon viminalis","TZ2"
"150.999107","-33.948699","Olea africana","TZ2"
"150.998231","-33.948178","Eucalyptus ficifolia (grafted stock)","TZ2"
"150.998183","-33.948407","Callistemon viminalis","TZ2"
"150.998771","-33.948969","Callistemon viminalis","TZ2"
"151.000253","-33.949089","Syncarpia glomulifera","TZ2"
"150.998969","-33.948946","Olea africana","TZ2"
"150.998131","-33.948611","Tristaniopsis laurina","TZ2"
"150.99931","-33.948921","Olea africana","TZ2"
"150.998095","-33.948821","Eleaocarpus reticulatus","TZ2"
"150.998043","-33.948987","Callistemon viminalis","TZ2"
"150.998005","-33.949165","Callistemon salignus","TZ2"
"150.999766","-33.948869","Waterhousia floribunda","TZ2"
"150.997817","-33.949596","Syzygium paniculatum","TZ2"
"150.997866","-33.949374","Callistemon salignus","TZ2"
"150.997666","-33.949867","Tristaniopsis laurina","TZ2"
"151.000063","-33.949256","Olea africana","TZ2"
"150.997889","-33.949254","Callistemon salignus","TZ2"
"150.997897","-33.949204","Callistemon viminalis","TZ2"
"151.000031","-33.949425","Olea europaea","TZ2"
"150.9979","-33.949133","Callistemon viminalis","TZ2"
"150.997953","-33.948965","Tristaniopsis laurina","TZ2"
"150.997992","-33.94883","Callistemon viminalis","TZ2"
"150.998074","-33.948382","Callistemon viminalis","TZ2"
"150.996784","-33.949758","Callistemon salignus","TZ2"
"150.998093","-33.948315","Callistemon viminalis","TZ2"
"150.997028","-33.949929","Tristaniopsis laurina","TZ2"
"150.998111","-33.948254","Callistemon viminalis","TZ2"
"150.999087","-33.94974","Lophostemon confertus","TZ2"
"150.998114","-33.948178","Callistemon viminalis","TZ2"
"150.99896","-33.949752","Lophostemon confertus","TZ2"
"150.998139","-33.948129","Callistemon viminalis","TZ2"
"150.998224","-33.947768","Callistemon viminalis","TZ2"
"150.996806","-33.949623","Callistemon salignus","TZ2"
"150.998655","-33.949771","Lophostemon confertus","TZ2"
"150.998231","-33.947718","Melaleuca sp.","TZ2"
"150.996842","-33.949459","Melia azadarach","TZ2"
"150.998246","-33.947625","Callistemon viminalis","TZ2"
"150.998254","-33.947563","Callistemon viminalis","TZ2"
"150.996848","-33.949391","Melia azadarach","TZ2"
"150.998321","-33.949801","Tristaniopsis laurina","TZ2"
"150.996858","-33.949351","Melia azadarach","TZ2"
"150.998294","-33.94743","Callistemon salignus","TZ2"
"150.996882","-33.94927","Jacaranda mimosifolia","TZ2"
"150.998311","-33.947367","Callistemon viminalis","TZ2"
"150.998139","-33.949831","Tristaniopsis laurina","TZ2"
"150.998307","-33.947324","Callistemon salignus","TZ2"
"150.998336","-33.947216","Callistemon salignus","TZ2"
"150.998344","-33.947141","Callistemon salignus","TZ2"
"150.998396","-33.946915","Callistemon viminalis","TZ2"
"150.996912","-33.949154","Nerium oleander","TZ2"
"150.996931","-33.949082","Callistemon salignus","TZ2"
"150.996955","-33.94897","Callistemon viminalis","TZ2"
"150.99843","-33.946797","Waterhousia floribunda","TZ2"
"150.996992","-33.948825","Callistemon salignus","TZ2"
"150.998468","-33.946654","Tristaniopsis laurina","TZ2"
"150.998745","-33.945877","Callistemon viminalis","TZ2"
"150.998471","-33.946376","Callistemon viminalis","TZ2"
"150.998472","-33.946362","Callistemon viminalis","TZ2"
"150.998976","-33.945926","Callistemon viminalis","TZ2"
"150.998469","-33.946144","Callistemon salignus","TZ2"
"150.999286","-33.945962","Callistemon viminalis","TZ2"
"150.998454","-33.946064","Callistemon viminalis","TZ2"
"150.998461","-33.945996","Callistemon salignus","TZ2"
"150.999406","-33.945987","Callistemon viminalis","TZ2"
"150.9971","-33.948292","Tristaniopsis laurina","TZ2"
"150.995633","-33.94995","Eucalyptus melliodora","TZ2"
"150.997156","-33.948072","Callistemon viminalis","TZ2"
"150.997165","-33.947998","Callistemon salignus","TZ2"
"150.997187","-33.947901","Callistemon viminalis","TZ2"
"150.997256","-33.947624","Callistemon viminalis","TZ2"
"150.997456","-33.947875","Callistemon viminalis","TZ2"
"150.997285","-33.947478","Callistemon viminalis","TZ2"
"150.995737","-33.949538","Callistemon sp.","TZ2"
"150.997458","-33.946761","Callistemon viminalis","TZ2"
"150.997484","-33.946666","Callistemon viminalis","TZ2"
"150.997563","-33.946375","Syncarpia glomulifera","TZ2"
"150.99758","-33.946255","Callistemon salignus","TZ2"
"150.997543","-33.945881","Callistemon viminalis","TZ2"
"150.997529","-33.945994","Callistemon viminalis","TZ2"
"150.995898","-33.948775","Eucalyptus sp.","TZ2"
"150.997517","-33.946053","Callistemon viminalis","TZ2"
"150.995906","-33.948752","Melaleuca sp.","TZ2"
"150.997443","-33.946357","Callistemon viminalis","TZ2"
