Latitude,Longitude,Title
151.003945,-33.953941,Syzygium luehmannii   HEV ERR RU1 MVB
151.003867,-33.953953,Syzygium sp.   53D BZC GDH T68
151.003553,-33.95399,Callistemon viminalis   RQ7 A5S XBM 8S7
151.004051,-33.953923,Tristaniopsis laurina 'Luscious'   XK6 FF6 886 NRS
151.004451,-33.953889,Callistemon viminalis   SJ2 RAC EO1 NM7
151.004877,-33.95394,Nerium oleander   USJ UWN BSB 5ZD
151.004939,-33.953941,Lophostemon confertus   XO4 NON Y8M 6R2
151.005094,-33.954063,Lophostemon confertus   M9Y R4D DQA 9FO
150.996831,-33.961707,Olea africana   RJR CZ4 43K 9KX
150.9969,-33.962075,Eucalyptus tereticornis   SA6 8AO AA4 RTR
150.996876,-33.962172,Corymbia maculata   O9X DAO OJF V7S
150.996706,-33.962396,Callistemon viminalis   PTS GX6 NT4 9SK
150.996864,-33.962317,Callistemon viminalis   5O5 3ZJ GDP 18R
150.996659,-33.962651,Eucalyptus sp.   4M1 WAH 4RT 1XQ
150.996825,-33.962547,Callistemon viminalis   23H X6D 5VS HC5
150.996626,-33.962877,Ceratopetalum gummiferum   9TR 4XY 51N 7Y1
150.996799,-33.962689,Tristaniopsis laurina   CK7 NGE GH7 NG9
150.996773,-33.962823,Callistemon viminalis   FKV XO5 W2G CPV
150.99677,-33.962882,Robinia pseudoacacia   FPX XGM 8K5 VCK
150.996566,-33.963121,Eucalyptus tereticornis   YUP CTX JY4 Q3W
150.996758,-33.962935,Robinia pseudoacacia   V6U AQE 86N MGN
150.996762,-33.962908,Prunus sp.   O35 4SW KD8 EOX
150.996554,-33.963245,Eucalyptus ficifolia (grafted stock)   EN2 3AT 73C YOG
150.996744,-33.962987,Fraxinus 'Griffithii'   26W SP8 4QT BAD
150.996706,-33.963154,Eucalyptus ficifolia (grafted stock)   D9S MZV SKX 39K
150.996597,-33.963478,Callistemon viminalis   5VV CDS PRH 73X
150.996668,-33.96329,Callistemon viminalis   RHY QBJ K3S CWH
150.996681,-33.963415,Lagerstroemia indica cv.   SPK DU1 SEK GRM
150.997983,-33.961436,Fraxinus 'Griffithii'   769 UJ3 G7A 8N1
150.997744,-33.961648,Lophostemon confertus   UOJ FVV CZY 2ME
150.997571,-33.961633,Lophostemon confertus   3GK O7H 439 2OM
150.997852,-33.961552,Callistemon viminalis   BUC YE3 KGF JAS
150.997791,-33.961545,Callistemon viminalis   U4P KUG RQ5 761
150.997232,-33.961584,Lophostemon confertus   7HW MF5 3R7 G6G
150.99773,-33.961542,Callistemon viminalis   WX9 MMW MKK N1P
150.99679,-33.961571,Platanus x hybrida   JEM T92 KOX DE3
150.997035,-33.961347,Callistemon viminalis   QC7 E7N W3P HSP
150.996909,-33.961247,Callistemon viminalis   JVE BOB 2DN DUJ
150.996477,-33.9615,Lophostemon confertus   XDA UZQ N8E N22
150.996934,-33.961166,Callistemon viminalis   CZD VPG 3M9 55U
150.996178,-33.96147,Eucalyptus sp.   E1O OF7 X3O 51V
150.996044,-33.961443,Lophostemon confertus   Q32 VRR 6GA 8YH
150.996656,-33.961393,Lophostemon confertus   DEH 2V2 C95 JOM
150.995698,-33.96139,Callistemon citrinus   AB3 W1N XNE DD9
150.996486,-33.96137,Lophostemon confertus   PXS 57P UHD 9JB
150.996342,-33.961353,Tristaniopsis laurina   YPX F8Z 9K5 T9N
150.995279,-33.96133,Callistemon salignus   1KW 1XU V8R AXQ
150.996221,-33.961339,Unident / evergreen / Exotic   BAC 19U DRO 49X
150.99545,-33.961245,Callistemon viminalis   96U YVJ HNT ZAC
150.995653,-33.961265,Callistemon salignus   NGC D8A WWN UEA
150.995712,-33.961277,Callistemon salignus   NBR U8S 7T3 UHK
150.995969,-33.961178,Callistemon viminalis   7VQ X33 3BF BKG
150.995829,-33.961125,Callistemon viminalis   OPK XWK 1AN 7CU
150.995742,-33.961561,Callistemon salignus   AG9 F4Q 8N3 12H
150.995661,-33.961948,Callistemon salignus   A6J TQC TF4 RBO
150.995656,-33.962009,Callistemon salignus   6WW GPR O1Z 9FS
150.996013,-33.960884,Callistemon viminalis   COH ACD FXF N5U
150.996044,-33.960755,Callistemon viminalis   565 782 YNH 16X
150.995803,-33.96208,Tristaniopsis laurina   9H8 AR3 9MR 38O
150.996041,-33.960691,Callistemon viminalis   XEG H9B FON O3A
150.995882,-33.96171,Callistemon viminalis   JQA M2E VNK E7D
150.996054,-33.960547,Callistemon viminalis   PS9 8TE EF4 3QE
150.996072,-33.960431,Callistemon viminalis   2J5 QED A5Q EFJ
151.004162,-33.946718,Callistemon viminalis   3TO NHH 27F 6DK
151.004415,-33.94675,Lophostemon confertus   YUK MCA Z21 3UK
151.004566,-33.946772,Lophostemon confertus   219 MCK CWH DPA
151.004763,-33.946813,Lophostemon confertus   EGC WQ4 DUM SR2
151.005073,-33.946849,Callistemon viminalis   QS3 87S O7H DA7
151.005201,-33.947096,Callistemon viminalis   33B KCA V11 2PT
151.003977,-33.948342,Lophostemon confertus   KN8 9VQ QSU 16Z
151.005164,-33.94722,Callistemon viminalis   BSQ ST4 ADA TTX
151.004216,-33.948372,Prunus cerasifera 'Nigra'   HRH 9SS QW1 O2Z
151.005148,-33.947336,Callistemon viminalis   63Z M5P 24U ZTW
151.004258,-33.948378,Malus sp.   234 2SG SKR BO9
151.005098,-33.947517,Callistemon viminalis   HPJ CV6 VYR 6RO
151.004368,-33.948395,Callistemon viminalis   KTF GY5 BQC VW1
151.005077,-33.947673,Callistemon viminalis   73X BMO J7S K4U
151.004364,-33.969929,Melaleuca linariifolia   2E5 5JJ VYU QZG
151.004375,-33.969822,Callistemon viminalis   H3K 9BZ OA2 YX8
151.004402,-33.969682,Callistemon viminalis   DN2 2SO JN8 HEV
151.005045,-33.94784,Sapium sebiferum   E82 U4C 785 YP3
151.004563,-33.948515,Callistemon viminalis   9QX W77 T9J 5KG
151.004974,-33.948105,Callistemon viminalis   BSN RMK OAZ 165
151.004586,-33.969257,Callistemon viminalis   TYO 5XC BMM WOJ
151.0042,-33.948463,Callistemon viminalis   JZ7 5EF PQB QUW
151.004623,-33.96913,Callistemon viminalis   JSW 454 VGS RF5
151.003972,-33.948422,Callistemon viminalis   UYU P3A XRF BU8
151.004834,-33.948714,Callistemon viminalis   B2J YEH 2M1 K3Y
151.003546,-33.948372,Callistemon viminalis   GBU UBH D4B 5CP
151.004641,-33.969009,Callistemon viminalis   BAS QEV M45 3GY
151.004663,-33.968851,Callistemon viminalis   TNO FVX AGY 444
151.003556,-33.948273,Callistemon viminalis   5SX QGG U5K QOK
151.004634,-33.968694,Callistemon viminalis   MSP 9EO RAU YUS
151.00373,-33.948306,Callistemon viminalis   88U RD6 CRP GQE
151.004655,-33.968418,Callistemon viminalis   33P 3TW 6BB 9KG
151.004692,-33.968294,Callistemon viminalis   JUH KK5 BDQ 7SN
151.004899,-33.967762,Callistemon viminalis   MUX Y69 3CU 2UQ
151.00493,-33.967597,Brachychiton acerifolius   3N7 7CH R7D C9W
151.003269,-33.948448,Callistemon viminalis   GFM VF7 C6Z OFD
151.002789,-33.949364,Callistemon viminalis   OFY OAS FEN YK9
151.004961,-33.967501,Eucalyptus paniculata   1R6 9M9 GOZ 3S5
151.002721,-33.949368,Callistemon viminalis   VFE EUC Z66 W9Y
151.003267,-33.94856,Eucalyptus sp.   96K 5WQ 67M MO8
151.003227,-33.948669,Eucalyptus ficifolia (grafted stock)   KSP DKO P9A 631
151.002647,-33.949372,Callistemon viminalis   NHH F3B YMW ZRK
151.004948,-33.967414,Callistemon viminalis   ZYG 44A YP1 WNX
151.004991,-33.967299,Prunus cerasifera 'Nigra'   UX8 EA8 EVN BEU
151.003185,-33.948765,Jacaranda mimosifolia   XUG TWZ Q3P 8KJ
